,band_id,sex,population,year_captured,year_death,site_captured,cage_id_2021,mark_id1,mark_id2,mark_id3,mark_id,band_id_2022,cage_id_2022,experimental_group_2022,mark_id22,mark_idintro,comments
3,A150,female,old_captives,2012,,Perrine,WA_246,,,,,A150,205,test,,,
4,A151,female,old_captives,2012,winter 2022,Perrine,WA_246,,,,,A151,205,test,,,found dead in flight pen on January 16 2022 with broken neck
9,A152,male,old_captives,2012,,Perrine,WA_300,,,,,A152,246,test,,,
7,A163,male,old_captives,2012,,Goulds,WA_235,,,,,A163,288,test,,,
8,A166,female,old_captives,2012,,Goulds,WA_229,,,,,A166,235,not used,,,
1,A167,male,old_captives,2012,,Goulds,WA_230,,,,,A167,246,test,,,
2,A167,male,old_captives,2012,,Goulds,WA_230,,,,,A157,235,test,,,
5,A173,male,old_captives,2020,,hatched_NWRC-FFS,WA_235,,,,,A173,288,1_west,,KKO,
6,A174,male,old_captives,2020,,hatched_NWRC-FFS,WA_235,,,,,A174,288,2_east,,KKG,
28,BB1152,female,new_captives_aviary,2021,,Florida City,WA_225,,,,,BB1152,229,2_east,GGG,GGG,
24,BB1155,male,new_captives,2021,,Florida City,WA_268,PPP,PPP,PPP,PPP,BB1155,237,1_west,BOB,BOB,
23,BB1156,male,new_captives,2021,,Florida City,WA_237,GOP,GOP,GOP,GOP,BB1156,237,2_east,GOP,GOP,
27,BB1157,male,new_captives_aviary,2021,,Florida City,WA_206,,,,,BB1157,280,1_west,OOO,OOO,
26,BB1158,male,new_captives,2021,,Florida City,WA_268,OBB,OBB,OBB,OBB,BB1158,268,2_east,BBO,BBO,
25,BB1159,male,new_captives,2021,,Florida City,WA_268,GOO,GOO,GOO,GOO,BB1159,300,2_east,PPO,PPO,included in group 2 east flight pen instead of BB1253 on day2.5 January 21 at 17:00
33,BB1210,female,new_captives_aviary,2021,,Florida City,WA_249,,,,,BB1210,229,1_west,OPP,OPP,
22,BB1211,female,new_captives,2021,,Florida City,WA_221,OBG,,,OBG,BB1211,229,1_west,PPO,PPO,
30,BB1212,female,new_captives_aviary,2021,,Florida City,WA_220,,,,,A200,233,1_west,PGG,PGG,Formerly BB1212
31,BB1214,male,new_captives_aviary,2021,,Florida City,WA_234,,,,,BB1214,280,2_east,OGO,OGO,
29,BB1215,female,new_captives_aviary,2021,,Florida City,WA_220,,,,,BB1215,233,2_east,OBB,OBB,
32,BB1217,female,new_captives_aviary,2021,winter 2022,Florida City,WA_249,,,,,BB1217,270,na,,,PPO excluded on experimental day 1; euthanized 20 January 2022
21,BB1218,female,new_captives,2021,,Florida City,WA_221,PBO,PBO,PBO,PBO,BB1218,234,1_west,GPO,GPO,
14,BB1241,female,new_captives,2021,,Perrine,EA_253,POP,POP,POP,POP,BB1241,234,2_east,GOO,GOO,
16,BB1242,male,new_captives,2021,,Perrine,EA_240,PPO,PPO,PPO,PPO,BB1242,300,1_west,OPO,OPO,
15,BB1245,male,new_captives,2021,,Perrine,EA_253,OOO,OOO,OOO,OOO,BB1245,268,1_west,BBB,BBB,
18,BB1246,female,new_captives,2021,,Goulds,EA_248,GGO,GGO,GGO,GGO,BB1246,234,2_east,OOP,OOP,
34,BB1216,male,new_captives,2021,,Florida City,WA_249,NA,NA,NA,NA,BB1247,218,2_east,POO,POO,Formerly BB1216
20,BB1248,male,new_captives,2021,,Goulds,EA_248,GPG,GPG,GPG,GPG,BB1248,206,1_west,PBO,PBO,
19,BB1250,female,new_captives,2021,,Goulds,EA_215,GGG,GGG,GGG,GGG,BB1250,225,2_east,PBP,PBP,
11,BB1251,male,new_captives,2021,,Galloway,EA_284,OPP,OPP,OPP,OPP,BB1257,249,1_west,GGP,GGP,reads as BB1251 on Field station database
13,BB1252,female,new_captives,2021,,Galloway,EA_284,GBB,NPB,PPB,PPB,BB1252,225,1_west,POP,POP,
10,BB1253,male,new_captives,2021,,Galloway,EA_284,BBB,BBB,BBB,BBB,BB1253,300,na,PPP,PPP,"PPP excluded on day 2.5, swapped with BB1159"
17,BB1254,female,new_captives,2021,,Goulds,EA_248,OOP,OOP,OOP,OOP,BB1254,225,not used,,,
12,BB1255,male,new_captives,2021,,Galloway,EA_284,BOO,POO,POO,POO,BB1255,249,2_east,GPG,GPG,
