Rule_1,Rule_2,Rule_1_speed,Rule_2_speed,EMD,p,Group_ID
Pass-along,Opportunism,587.562,651.421,81.642,0.976,Group_1
Pile-on,Opportunism,44.711,651.421,606.71,<0.001,Group_1
Punishment,Opportunism,412.86,651.421,241.095,0.014,Group_1
Retaliation,Opportunism,236.063,651.421,415.358,0.014,Group_1
Pile-on,Pass-along,44.711,587.562,542.851,<0.001,Group_1
Punishment,Pass-along,412.86,587.562,203.127,0.027,Group_1
Retaliation,Pass-along,236.063,587.562,367.953,0.025,Group_1
Punishment,Pile-on,412.86,44.711,368.15,<0.001,Group_1
Retaliation,Pile-on,236.063,44.711,192.596,<0.001,Group_1
Retaliation,Punishment,236.063,412.86,226.51,0.278,Group_1
Pass-along,Opportunism,264.937,557.471,296.275,0.158,Group_2
Pile-on,Opportunism,35.026,557.471,522.444,<0.001,Group_2
Punishment,Opportunism,202.111,557.471,356.327,0.116,Group_2
Retaliation,Opportunism,-,557.471,NA,-,Group_2
Pile-on,Pass-along,35.026,264.937,229.859,<0.001,Group_2
Punishment,Pass-along,202.111,264.937,105.927,0.762,Group_2
Retaliation,Pass-along,-,264.937,NA,-,Group_2
Punishment,Pile-on,202.111,35.026,167.085,<0.001,Group_2
Retaliation,Pile-on,-,35.026,NA,-,Group_2
Retaliation,Punishment,-,202.111,NA,-,Group_2
Pass-along,Opportunism,267.987,349.3,82.245,0.413,Group_3
Pile-on,Opportunism,41.486,349.3,307.814,<0.001,Group_3
Punishment,Opportunism,187.818,349.3,165.888,0.166,Group_3
Retaliation,Opportunism,373.8,349.3,186.9,0.994,Group_3
Pile-on,Pass-along,41.486,267.987,226.501,<0.001,Group_3
Punishment,Pass-along,187.818,267.987,95.987,0.651,Group_3
Retaliation,Pass-along,373.8,267.987,163.516,0.998,Group_3
Punishment,Pile-on,187.818,41.486,146.332,<0.001,Group_3
Retaliation,Pile-on,373.8,41.486,332.314,0.004,Group_3
Retaliation,Punishment,373.8,187.818,207.436,0.903,Group_3
