"count_of_rule_follows","Group","groupid","rule"
15,"Retalialtion Group 1","Group 1","Retaliation"
0,"Retaliation Group 2","Group 2","Retaliation"
5,"Retaliation Group 3","Group 3","Retaliation"
185,"Pile-on Group 1","Group 1","Pile-on"
148,"Pile-on Group 2","Group 2","Pile-on"
138,"Pile-on Group 3","Group 3","Pile-on"
339,"Pass-along Group 1","Group 1","Pass-along"
310,"Pass-along Group 2","Group 2","Pass-along"
303,"Pass-along Group 3","Group 3","Pass-along"
202,"Opportunism Group 1","Group 1","Opportunism"
17,"Opportunism Group 2","Group 2","Opportunism"
29,"Opportunism Group 3","Group 3","Opportunism"
168,"Punishment Group 1","Group 1","Punishment"
18,"Punishment Group 2","Group 2","Punishment"
22,"Punishment Group 3","Group 3","Punishment"
